benchmark,freq0,freq1,p-value
linpack,4.0ghz,2.25ghz,0.5869371700692589
linpack,4.0ghz,4.0ghz,1.0
linpack,4.0ghz,3.75ghz,0.8158901548607471
linpack,4.0ghz,1.0ghz,0.6979738522659524
linpack,4.0ghz,2.5ghz,0.7562221220076069
linpack,4.0ghz,1.5ghz,0.17440038915018252
linpack,4.0ghz,3.25ghz,0.2772314876173122
linpack,4.0ghz,2.75ghz,0.3825931773694824
linpack,4.0ghz,4.75ghz,0.5219814481957432
linpack,4.0ghz,4.5ghz,0.06817204557664998
linpack,4.0ghz,5.0ghz,0.1683260949337354
linpack,4.0ghz,1.25ghz,0.4376816780828031
linpack,4.0ghz,2.0ghz,0.6414528745894932
linpack,4.0ghz,3.5ghz,0.12060767859094357
linpack,4.0ghz,3.0ghz,0.6414528745894932
linpack,3.75ghz,4.25ghz,0.42631291323985965
linpack,3.75ghz,1.75ghz,0.2859010589675479
linpack,3.75ghz,2.25ghz,1.0
linpack,3.75ghz,4.0ghz,0.8158901548607471
linpack,3.75ghz,3.75ghz,1.0
linpack,3.75ghz,1.0ghz,0.4376816780828031
linpack,3.75ghz,2.5ghz,0.4728155871746813
linpack,3.75ghz,1.5ghz,0.33197546708273695
linpack,3.75ghz,3.25ghz,0.12060767859094357
linpack,3.75ghz,2.75ghz,0.8309905299998261
linpack,3.75ghz,4.75ghz,0.7710186241805638
linpack,3.75ghz,4.5ghz,0.1253189420819512
linpack,3.75ghz,5.0ghz,0.059825636317548045
linpack,3.75ghz,1.25ghz,0.5605090914385145
linpack,3.75ghz,2.0ghz,0.3721083307918155
linpack,3.75ghz,3.5ghz,0.0436020520360401
linpack,3.75ghz,3.0ghz,0.6139282580548475
linpack,1.0ghz,4.25ghz,0.20724211154284822
linpack,1.0ghz,1.75ghz,0.13017242401938045
linpack,1.0ghz,2.25ghz,0.2772314876173122
linpack,1.0ghz,4.0ghz,0.6979738522659524
linpack,1.0ghz,3.75ghz,0.4376816780828031
linpack,1.0ghz,1.0ghz,1.0
linpack,1.0ghz,2.5ghz,0.5605090914385145
linpack,1.0ghz,1.5ghz,0.08419395035432709
linpack,1.0ghz,3.25ghz,0.7710186241805638
linpack,1.0ghz,2.75ghz,0.11160199172647282
linpack,1.0ghz,4.75ghz,0.24435472003272052
linpack,1.0ghz,4.5ghz,0.01529337103019893
linpack,1.0ghz,5.0ghz,0.22898533711961333
linpack,1.0ghz,1.25ghz,0.34173655502734857
linpack,1.0ghz,2.0ghz,0.9227150779556011
linpack,1.0ghz,3.5ghz,0.3721083307918155
linpack,1.0ghz,3.0ghz,0.268742772421077
linpack,2.5ghz,4.25ghz,0.15665606830628992
linpack,2.5ghz,1.75ghz,0.12060767859094357
linpack,2.5ghz,2.25ghz,0.42631291323985965
linpack,2.5ghz,4.0ghz,0.7562221220076069
linpack,2.5ghz,3.75ghz,0.4728155871746813
linpack,2.5ghz,1.0ghz,0.5605090914385145
linpack,2.5ghz,2.5ghz,1.0
linpack,2.5ghz,1.5ghz,0.14561009539686695
linpack,2.5ghz,3.25ghz,0.3721083307918155
linpack,2.5ghz,2.75ghz,0.3037847253883319
linpack,2.5ghz,4.75ghz,0.361803488317166
linpack,2.5ghz,4.5ghz,0.054746566574845876
linpack,2.5ghz,5.0ghz,0.12060767859094357
linpack,2.5ghz,1.25ghz,0.4040992479205485
linpack,2.5ghz,2.0ghz,0.5736510006245363
linpack,2.5ghz,3.5ghz,0.13517053560025727
linpack,2.5ghz,3.0ghz,0.20724211154284822
linpack,1.5ghz,4.25ghz,0.6139282580548475
linpack,1.5ghz,1.75ghz,0.9690453003117911
linpack,1.5ghz,2.25ghz,0.497074660807861
linpack,1.5ghz,4.0ghz,0.17440038915018252
linpack,1.5ghz,3.75ghz,0.33197546708273695
linpack,1.5ghz,1.0ghz,0.08419395035432709
linpack,1.5ghz,2.5ghz,0.14561009539686695
linpack,1.5ghz,1.5ghz,1.0
linpack,1.5ghz,3.25ghz,0.016130322106759073
linpack,1.5ghz,2.75ghz,0.7123855280840246
linpack,1.5ghz,4.75ghz,0.39325715704186925
linpack,1.5ghz,4.5ghz,0.42631291323985965
linpack,1.5ghz,5.0ghz,0.01529337103019893
linpack,1.5ghz,1.25ghz,0.6979738522659524
linpack,1.5ghz,2.0ghz,0.0990980154217605
linpack,1.5ghz,3.5ghz,0.013733404308894272
linpack,1.5ghz,3.0ghz,0.6276258050283593
linpack,3.25ghz,4.25ghz,0.06528948950848884
linpack,3.25ghz,1.75ghz,0.0436020520360401
linpack,3.25ghz,2.25ghz,0.07745301640549514
linpack,3.25ghz,4.0ghz,0.2772314876173122
linpack,3.25ghz,3.75ghz,0.12060767859094357
linpack,3.25ghz,1.0ghz,0.7710186241805638
linpack,3.25ghz,2.5ghz,0.3721083307918155
linpack,3.25ghz,1.5ghz,0.016130322106759073
linpack,3.25ghz,3.25ghz,1.0
linpack,3.25ghz,2.75ghz,0.028341832697381233
linpack,3.25ghz,4.75ghz,0.08419395035432709
linpack,3.25ghz,4.5ghz,0.004341518517797562
linpack,3.25ghz,5.0ghz,0.48486293237843714
linpack,3.25ghz,1.25ghz,0.19360407089423592
linpack,3.25ghz,2.0ghz,0.6414528745894932
linpack,3.25ghz,3.5ghz,0.48486293237843714
linpack,3.25ghz,3.0ghz,0.04566317848485905
linpack,2.75ghz,4.25ghz,0.6139282580548475
linpack,2.75ghz,1.75ghz,0.5094483563706427
linpack,2.75ghz,2.25ghz,0.7415144763294637
linpack,2.75ghz,4.0ghz,0.3825931773694824
linpack,2.75ghz,3.75ghz,0.8309905299998261
linpack,2.75ghz,1.0ghz,0.11160199172647282
linpack,2.75ghz,2.5ghz,0.3037847253883319
linpack,2.75ghz,1.5ghz,0.7123855280840246
linpack,2.75ghz,3.25ghz,0.028341832697381233
linpack,2.75ghz,2.75ghz,1.0
linpack,2.75ghz,4.75ghz,0.8461535661468554
linpack,2.75ghz,4.5ghz,0.3223963931070317
linpack,2.75ghz,5.0ghz,0.013007466607958674
linpack,2.75ghz,1.25ghz,0.953582510349677
linpack,2.75ghz,2.0ghz,0.13017242401938045
linpack,2.75ghz,3.5ghz,0.013733404308894272
linpack,2.75ghz,3.0ghz,0.8461535661468554
linpack,4.75ghz,4.25ghz,0.9690453003117911
linpack,4.75ghz,1.75ghz,0.6003641276866312
linpack,4.75ghz,2.25ghz,0.984519736863829
linpack,4.75ghz,4.0ghz,0.5219814481957432
linpack,4.75ghz,3.75ghz,0.7710186241805638
linpack,4.75ghz,1.0ghz,0.24435472003272052
linpack,4.75ghz,2.5ghz,0.361803488317166
linpack,4.75ghz,1.5ghz,0.39325715704186925
linpack,4.75ghz,3.25ghz,0.08419395035432709
linpack,4.75ghz,2.75ghz,0.8461535661468554
linpack,4.75ghz,4.75ghz,1.0
linpack,4.75ghz,4.5ghz,0.18703749337591546
linpack,4.75ghz,5.0ghz,0.03281712689483408
linpack,4.75ghz,1.25ghz,0.8008578418954853
linpack,4.75ghz,2.0ghz,0.20724211154284822
linpack,4.75ghz,3.5ghz,0.03971489002268778
linpack,4.75ghz,3.0ghz,0.9227150779556011
linpack,4.5ghz,4.25ghz,0.2772314876173122
linpack,4.5ghz,1.75ghz,0.6694793348058024
linpack,4.5ghz,2.25ghz,0.15105615728737953
linpack,4.5ghz,4.0ghz,0.06817204557664998
linpack,4.5ghz,3.75ghz,0.1253189420819512
linpack,4.5ghz,1.0ghz,0.01529337103019893
linpack,4.5ghz,2.5ghz,0.054746566574845876
linpack,4.5ghz,1.5ghz,0.42631291323985965
linpack,4.5ghz,3.25ghz,0.004341518517797562
linpack,4.5ghz,2.75ghz,0.3223963931070317
linpack,4.5ghz,4.75ghz,0.18703749337591546
linpack,4.5ghz,4.5ghz,1.0
linpack,4.5ghz,5.0ghz,0.0026345660958435055
linpack,4.5ghz,1.25ghz,0.3129994773224958
linpack,4.5ghz,2.0ghz,0.01700726906208309
linpack,4.5ghz,3.5ghz,0.0038398800013550467
linpack,4.5ghz,3.0ghz,0.2523052121646835
linpack,5.0ghz,4.25ghz,0.01888745461845923
linpack,5.0ghz,1.75ghz,0.013733404308894272
linpack,5.0ghz,2.25ghz,0.0436020520360401
linpack,5.0ghz,4.0ghz,0.1683260949337354
linpack,5.0ghz,3.75ghz,0.059825636317548045
linpack,5.0ghz,1.0ghz,0.22898533711961333
linpack,5.0ghz,2.5ghz,0.12060767859094357
linpack,5.0ghz,1.5ghz,0.01529337103019893
linpack,5.0ghz,3.25ghz,0.48486293237843714
linpack,5.0ghz,2.75ghz,0.013007466607958674
linpack,5.0ghz,4.75ghz,0.03281712689483408
linpack,5.0ghz,4.5ghz,0.0026345660958435055
linpack,5.0ghz,5.0ghz,1.0
linpack,5.0ghz,1.25ghz,0.05003228610625733
linpack,5.0ghz,2.0ghz,0.415118275851869
linpack,5.0ghz,3.5ghz,0.8309905299998261
linpack,5.0ghz,3.0ghz,0.029771346975723968
linpack,1.25ghz,4.25ghz,0.7123855280840246
linpack,1.25ghz,1.75ghz,0.8309905299998261
linpack,1.25ghz,2.25ghz,0.8008578418954853
linpack,1.25ghz,4.0ghz,0.4376816780828031
linpack,1.25ghz,3.75ghz,0.5605090914385145
linpack,1.25ghz,1.0ghz,0.34173655502734857
linpack,1.25ghz,2.5ghz,0.4040992479205485
linpack,1.25ghz,1.5ghz,0.6979738522659524
linpack,1.25ghz,3.25ghz,0.19360407089423592
linpack,1.25ghz,2.75ghz,0.953582510349677
linpack,1.25ghz,4.75ghz,0.8008578418954853
linpack,1.25ghz,4.5ghz,0.3129994773224958
linpack,1.25ghz,5.0ghz,0.05003228610625733
linpack,1.25ghz,1.25ghz,1.0
linpack,1.25ghz,2.0ghz,0.33197546708273695
linpack,1.25ghz,3.5ghz,0.07425122834326177
linpack,1.25ghz,3.0ghz,0.6836702770203351
linpack,2.0ghz,4.25ghz,0.14031564937735788
linpack,2.0ghz,1.75ghz,0.10730258670433653
linpack,2.0ghz,2.25ghz,0.2772314876173122
linpack,2.0ghz,4.0ghz,0.6414528745894932
linpack,2.0ghz,3.75ghz,0.3721083307918155
linpack,2.0ghz,1.0ghz,0.9227150779556011
linpack,2.0ghz,2.5ghz,0.5736510006245363
linpack,2.0ghz,1.5ghz,0.0990980154217605
linpack,2.0ghz,3.25ghz,0.6414528745894932
linpack,2.0ghz,2.75ghz,0.13017242401938045
linpack,2.0ghz,4.75ghz,0.20724211154284822
linpack,2.0ghz,4.5ghz,0.01700726906208309
linpack,2.0ghz,5.0ghz,0.415118275851869
linpack,2.0ghz,1.25ghz,0.33197546708273695
linpack,2.0ghz,2.0ghz,1.0
linpack,2.0ghz,3.5ghz,0.415118275851869
